Date,Chicot,Carroll
2020-10-12,0.0,0.013986013986013957
2020-10-13,0.0,0.010344827586206806
2020-10-14,0.003929273084479323,0.015927189988623525
2020-10-15,0.0029354207436398383,0.015677491601343796
2020-10-16,0.0019512195121951237,0.015435501653803696
2020-10-17,0.0019474196689386325,0.0032573289902280145
2020-10-18,0.0009718172983479434,0.0032467532467532756
2020-10-19,0.000970873786407811,0.010787486515641875
2020-10-20,0.0009699321047527132,0.007470651013874008
2020-10-21,0.005813953488372103,0.01165254237288127
2020-10-22,0.0028901734104045396,0.015706806282722585
2020-10-23,0.0019212295869357465,0.007216494845360799
2020-10-24,0.0057526366251199335,0.007164790174001956
2020-10-25,0.0,0.0030487804878047697
2020-10-26,0.0,0.005065856129685908
2020-10-27,0.0009532888465204614,0.008064516129032251
2020-10-28,0.0028571428571428914,0.006999999999999895
2020-10-29,0.0,0.006951340615690249
2020-10-30,0.0009496676163343043,0.013806706114398493
2020-10-31,0.000948766603415585,0.010700389105058328
2020-11-01,0.0009478672985780978,0.009624639076034613
